nome	valor
Salário + Auxílio Moradia	38016	
Salário	33763
Festa de Casamento Luxuosa	40000
100g de Ouro	15066
Uma Semana na Disney com a Família	22140
Lancha V 160 Comfort	29990
Computador Gamer High-End	9000
Celular iPhone XS Max	7999
Celular Moto G6	1199
Moto Honda Pop 110i 2018	5598
Carro Celta 2018	22900
Passagem de ida e volta para Orlando	1611
Salário Mínimo 2018	954
Videogame Xbox One X	3099
TV 4k Samsung	2279
Mensalidade Medicina Unifor	6622
