nome,estado,partido
EVAIR VIEIRA DE MELO,ES,PP
EVANDRO GUSSI,SP,PV
EVANDRO ROMAN,PR,PSD
EXPEDITO NETTO,RO,PSD
EZEQUIEL FONSECA,MT,PP
EZEQUIEL TEIXEIRA,RJ,PODE
FÁBIO FARIA,RN,PSD
FABIO GARCIA,MT,DEM
FÁBIO MITIDIERI,SE,PSD
FÁBIO RAMALHO,MG,MDB
FABIO REIS,SE,MDB
FÁBIO SOUSA,GO,PSDB
FÁBIO TRAD,MS,PSD
FAUSTO PINATO,SP,PP
FELIPE BORNIER,RJ,PROS
FELIPE CARRERAS,PE,PSB
FELIPE MAIA,RN,DEM
FÉLIX MENDONÇA JÚNIOR,BA,PDT
FERNANDO COELHO FILHO,PE,DEM
FERNANDO MONTEIRO,PE,PP
FERNANDO TORRES,BA,PSD
FLÁVIA MORAIS,GO,PDT
FLAVIANO MELO,AC,MDB
FLAVINHO,SP,PSC
FLORIANO PESARO,SP,PSDB
FRANCISCO CHAPADINHA,PA,PODE
FRANCISCO FLORIANO,RJ,DEM
FRANKLIN,MG,PP
FREIRE JÚNIOR,TO,MDB
FREITAS DO PT,TO,PT
GABRIEL GUIMARÃES,MG,PT
GENECIAS NORONHA,CE,SD
GEORGE HILTON,MG,PSC
GEOVANIA DE SÁ,SC,PSDB
GERALDO RESENDE,MS,PSDB
GIACOBO,PR,PR
GILBERTO NASCIMENTO,SP,PSC
GIOVANI CHERINI,RS,PR
GIOVANI FELTES,RS,MDB
GIUSEPPE VECCI,GO,PSDB
GIVALDO CARIMBÃO,AL,AVANTE
GIVALDO VIEIRA,ES,PCdoB
GLAUBER BRAGA,RJ,PSOL
GONZAGA PATRIOTA,PE,PSB
GORETE PEREIRA,CE,PR
GOULART,SP,PSD
GUILHERME MUSSI,SP,PP
HEITOR SCHUCH,RS,PSB
HELDER SALOMÃO,ES,PT
HÉLIO LEITE,PA,DEM
HENRIQUE FONTANA,RS,PT
HERÁCLITO FORTES,PI,DEM
HERCULANO PASSOS,SP,MDB
HERMES PARCIANELLO,PR,MDB
HEULER CRUVINEL,GO,PP
HILDO ROCHA,MA,MDB
HIRAN GONÇALVES,RR,PP
HISSA ABRAHÃO,AM,PDT
HUGO LEAL,RJ,PSD
HUGO MOTTA,PB,PRB
INDIO DA COSTA,RJ,PSD
IRACEMA PORTELLA,PI,PP
IRAJÁ ABREU,TO,PSD
IRMÃO LAZARO,BA,PSC
IVAN VALENTE,SP,PSOL
IZALCI LUCAS,DF,PSDB
IZAQUE SILVA,SP,PSDB
JAIME MARTINS,MG,PROS
JAIR BOLSONARO,RJ,PSL
JANDIRA FEGHALI,RJ,PCdoB
JANETE CAPIBERIBE,AP,PSB
JARBAS VASCONCELOS,PE,MDB
JEAN WYLLYS,RJ,PSOL
JEFFERSON CAMPOS,SP,PSB
JERÔNIMO GOERGEN,RS,PP
JÉSSICA SALES,AC,MDB
JHC,AL,PSB
JHONATAN DE JESUS,RR,PRB
JÔ MORAES,MG,PCdoB
JOÃO ARRUDA,PR,MDB
JOÃO CAMPOS,GO,PRB
JOÃO CARLOS BACELAR,BA,PR
JOÃO DANIEL,SE,PT
JOÃO DERLY,RS,REDE
JOÃO FERNANDO COUTINHO,PE,PROS
JOÃO GUALBERTO,BA,PSDB
JOÃO MARCELO SOUZA,MA,MDB
JOÃO PAULO KLEINÜBING,SC,DEM
JOÃO PAULO PAPA,SP,PSDB
JOÃO RODRIGUES,SC,PSD
JOAQUIM PASSARINHO,PA,PSD
JONES MARTINS,RS,MDB
JONY MARCOS,SE,PRB
JORGE BOEIRA,SC,PP
JORGE CÔRTE REAL,PE,PTB
JORGE SOLLA,BA,PT
JORGE TADEU MUDALEN,SP,DEM
JORGINHO MELLO,SC,PR
JOSÉ AIRTON CIRILO,CE,PT
JOSÉ CARLOS ALELUIA,BA,DEM
JOSÉ CARLOS ARAÚJO,BA,PR
JOSÉ FOGAÇA,RS,MDB
JOSÉ GUIMARÃES,CE,PT
JOSÉ MENTOR,SP,PT
JOSÉ NUNES,BA,PSD
JOSÉ OTÁVIO GERMANO,RS,PP
JOSÉ PRIANTE,PA,MDB
JOSÉ REINALDO,MA,PSDB
JOSÉ ROCHA,BA,PR
JOSE STÉDILE,RS,PSB
JOSI NUNES,TO,PROS
JOSIAS GOMES,BA,PT
JOSUÉ BENGTSON,PA,PTB
JOVAIR ARANTES,GO,PTB
JOZI ARAÚJO,AP,PODE
JÚLIA MARINHO,PA,PSC
JULIÃO AMIN,MA,PDT
JÚLIO CESAR,PI,PSD
JÚLIO DELGADO,MG,PSB
JULIO LOPES,RJ,PP
JUNIOR MARRECA,MA,PATRI
JUNJI ABE,SP,MDB
JUSCELINO FILHO,MA,DEM
JUTAHY JUNIOR,BA,PSDB
KAIO MANIÇOBA,PE,SD
KEIKO OTA,SP,PSB
LAERCIO OLIVEIRA,SE,PP
LAERTE BESSA,DF,PR
LAUDIVIO CARVALHO,MG,PODE
LAURA CARNEIRO,RJ,DEM
LÁZARO BOTELHO,TO,PP
LEANDRE,PR,PV
LELO COIMBRA,ES,MDB
LEO DE BRITO,AC,PT
LEONARDO MONTEIRO,MG,PT
LEONARDO PICCIANI,RJ,MDB
LEONARDO QUINTÃO,MG,MDB
LEÔNIDAS CRISTINO,CE,PDT
LEOPOLDO MEYER,PR,PSB
LINCOLN PORTELA,MG,PR
LINDOMAR GARÇON,RO,PRB
LOBBE NETO,SP,PSDB
LUANA COSTA,MA,PSC
LUCAS VERGILIO,GO,SD
LUCIANA SANTOS,PE,PCdoB
LUCIANO BIVAR,PE,PSL
LUCIANO DUCCI,PR,PSB
LUCIO MOSQUINI,RO,MDB
LÚCIO VALE,PA,PR
LUCIO VIEIRA LIMA,BA,MDB
LUIS CARLOS HEINZE,RS,PP
LUIS TIBÉ,MG,AVANTE
LUIZ CARLOS HAULY,PR,PSDB
LUIZ CARLOS RAMOS,RJ,PR
LUIZ CLÁUDIO,RO,PR
LUIZ COUTO,PB,PT
LUIZ FERNANDO FARIA,MG,PP
LUIZ LAURO FILHO,SP,PSB
LUIZ NISHIMORI,PR,PR
LUIZ SÉRGIO,RJ,PT
LUIZA ERUNDINA,SP,PSOL
LUIZIANNE LINS,CE,PT
MACEDO,CE,PP
MAGDA MOFATTO,GO,PR
MAIA FILHO,PI,PP
MAJOR OLIMPIO,SP,PSL
MANDETTA,MS,DEM
MARA GABRILLI,SP,PSDB
MARCELO AGUIAR,SP,DEM
MARCELO ÁLVARO ANTÔNIO,MG,PSL
MARCELO ARO,MG,PHS
MARCELO CASTRO,PI,MDB
MARCELO DELAROLI,RJ,PR
MARCELO MATOS,RJ,PSD
MARCELO ORTIZ,SP,PODE
MARCELO SQUASSONI,SP,PRB
MARCIO ALVINO,SP,PR
MÁRCIO BIOLCHI,RS,MDB
MÁRCIO MARINHO,BA,PRB
MARCUS PESTANA,MG,PSDB
MARCUS VICENTE,ES,PP
MARGARIDA SALOMÃO,MG,PT
MARIA DO ROSÁRIO,RS,PT
MARIA HELENA,RR,MDB
MARIANA CARVALHO,RO,PSDB
MARINALDO ROSENDO,PE,PP
MARINHA RAUPP,RO,MDB
MÁRIO HERINGER,MG,PDT
MÁRIO NEGROMONTE JR.,BA,PP
MARX BELTRÃO,AL,PSD
MAURÍCIO QUINTELLA LESSA,AL,PR
MAURO LOPES,MG,MDB
MAURO MARIANI,SC,MDB
MAURO PEREIRA,RS,MDB
MENDONÇA FILHO,PE,DEM
MIGUEL CORRÊA,MG,PT
MIGUEL HADDAD,SP,PSDB
MIGUEL LOMBARDI,SP,PR
MILTON MONTI,SP,PR
MIRO TEIXEIRA,RJ,REDE
MISAEL VARELLA,MG,PSD
MISSIONÁRIO JOSÉ OLIMPIO,SP,DEM
